TIME,VHM0
2020-03-03 00:15:00.000000000,0.01
2020-03-03 00:46:00.000000000,0.01
2020-03-03 01:15:00.000000000,0.01
2020-03-03 01:45:00.000000000,0.01
2020-03-03 02:16:00.000000000,0.01
2020-03-03 02:45:00.000000000,0.01
2020-03-03 03:15:00.000000000,0.01
2020-03-03 03:46:00.000000000,0.01
2020-03-03 04:15:00.000000000,0.01
2020-03-03 04:45:00.000000000,0.01
2020-03-03 05:16:00.000000000,0.01
2020-03-03 05:45:00.000000000,0.01
2020-03-03 06:15:00.000000000,0.01
2020-03-03 06:46:00.000000000,0.01
2020-03-03 07:15:00.000000000,0.01
2020-03-03 07:45:00.000000000,0.01
2020-03-03 08:16:00.000000000,0.01
2020-03-03 08:45:00.000000000,0.01
2020-03-03 09:15:00.000000000,0.01
2020-03-03 09:46:00.000000000,0.01
2020-03-03 10:15:00.000000000,0.01
2020-03-03 10:45:00.000000000,0.01
2020-03-03 11:16:00.000000000,0.01
2020-03-03 11:45:00.000000000,0.01
2020-03-03 12:15:00.000000000,0.01
2020-03-03 12:46:00.000000000,0.01
2020-03-03 13:15:00.000000000,0.01
2020-03-03 13:45:00.000000000,0.01
2020-03-03 14:16:00.000000000,0.01
2020-03-03 14:45:00.000000000,0.01
2020-03-03 15:15:00.000000000,0.01
2020-03-03 15:46:00.000000000,0.01
2020-03-03 16:15:00.000000000,0.01
2020-03-03 16:45:00.000000000,0.01
2020-03-03 17:16:00.000000000,0.01
2020-03-03 17:45:00.000000000,0.01
2020-03-03 18:15:00.000000000,0.01
2020-03-03 18:46:00.000000000,0.01
2020-03-03 19:15:00.000000000,0.01
2020-03-03 19:45:00.000000000,0.01
2020-03-03 20:16:00.000000000,0.01
2020-03-03 20:45:00.000000000,0.01
2020-03-03 21:15:00.000000000,0.01
2020-03-03 21:46:00.000000000,0.01
2020-03-03 22:15:00.000000000,0.01
2020-03-03 22:45:00.000000000,0.01
2020-03-03 23:16:00.000000000,0.01
2020-03-03 23:45:00.000000000,0.01
2020-03-04 00:15:00.000000000,0.01
2020-03-04 00:46:00.000000000,0.01
2020-03-04 01:15:00.000000000,0.01
2020-03-04 01:45:00.000000000,0.01
2020-03-04 02:16:00.000000000,0.01
2020-03-04 02:45:00.000000000,0.01
2020-03-04 03:15:00.000000000,0.01
2020-03-04 03:46:00.000000000,0.01
2020-03-04 04:15:00.000000000,0.01
2020-03-04 04:45:00.000000000,0.01
